,avg_d_mbps,avg_u_mbps,tests,devices,long,lat,location
61368,135.542,95.723,9,7,145.220031738281,-37.9247010448852,POINT (145.220031738281 -37.9247010448852)
61497,100.323,72.113,5,4,150.9164428710935,-33.84532647231605,POINT (150.9164428710935 -33.84532647231605)
61524,138.454,43.812,71,2,150.7461547851565,-34.100433669195205,POINT (150.7461547851565 -34.1004336691952)
61808,116.443,113.233,10,1,150.691223144531,-33.7311925057329,POINT (150.691223144531 -33.7311925057329)
61819,128.825,67.371,2,2,146.401062011719,-38.223077502954,POINT (146.401062011719 -38.223077502954)
61822,179.149,17.563,10,1,115.990905761719,-31.973133846310898,POINT (115.990905761719 -31.9731338463109)
61836,152.478,22.58,2,2,146.7416381835935,-19.267072548499698,POINT (146.7416381835935 -19.2670725484997)
62009,119.872,19.675,46,10,149.0048217773435,-35.20298907461925,POINT (149.0048217773435 -35.20298907461925)
62040,135.769,28.678,11,3,138.754577636719,-34.59025853219935,POINT (138.754577636719 -34.59025853219935)
62324,132.03,74.832,7,4,150.83953857421903,-33.813384298674904,POINT (150.839538574219 -33.8133842986749)
62349,247.515,31.136,25,3,130.954284667969,-12.49825825920055,POINT (130.954284667969 -12.49825825920055)
62414,222.957,260.271,1,1,144.621276855469,-37.8770213541729,POINT (144.621276855469 -37.8770213541729)
62588,102.642,23.256,18,5,138.644714355469,-35.5344613030492,POINT (138.644714355469 -35.5344613030492)
62710,324.161,32.438,1,1,138.5018920898435,-35.19401148690555,POINT (138.5018920898435 -35.19401148690555)
62753,275.128,18.566,13,2,150.7901000976565,-33.9410813487123,POINT (150.7901000976565 -33.9410813487123)
62928,129.731,59.83,10,6,145.302429199219,-38.01996772679925,POINT (145.302429199219 -38.01996772679925)
62974,106.153,23.175,9,3,145.763854980469,-17.0961670197383,POINT (145.763854980469 -17.0961670197383)
63002,102.191,50.318,13,7,145.242004394531,-37.86834900115805,POINT (145.242004394531 -37.86834900115805)
63021,122.345,21.858,55,8,151.652526855469,-30.493651141720747,POINT (151.652526855469 -30.49365114172075)
63136,182.692,69.561,3,1,114.1397094726565,-21.955782980145752,POINT (114.1397094726565 -21.95578298014575)
63173,150.935,24.418,15,2,115.9140014648435,-32.066283142993655,POINT (115.9140014648435 -32.06628314299365)
63276,131.492,25.564,18,10,115.74920654296902,-32.55838858362275,POINT (115.749206542969 -32.55838858362275)
63475,305.387,36.119,3,2,144.357604980469,-38.2360227676842,POINT (144.357604980469 -38.2360227676842)
